[   1.38 -    4.98] In Japan kommst du mit dem Zug in unter drei Stunden von Tokio nach Osaka.
[   5.32 -    8.95] In Frankreich rast der TGW mit über 300 kmh durchs Land.
[   9.33 -   14.03] China hat in nur 15 Jahren das größte Hochgeschwindigkeitsnetz der Welt aus dem Boden gestampft.
[  14.65 -   16.17] Und dann gibt es die USA.
[  16.55 -   17.77] Das reichste Land der Erde.
[  18.05 -   20.14] Die größte Wirtschaftsmacht der Geschichte.
[  20.59 -   23.98] Ein Land, das einmal mit Abstand das beste Eisenbahnnetz der Welt hatte.
[  24.46 -   27.16] Und das diesen Vorsprung heute komplett verspielt hat.
[  27.72 -   30.37] Die große Frage ist, wie kann das sein?
[  30.49 -   35.60] Wie verliert eine Nation, die das Reisen mit der Bahn praktisch erfunden hat, ausgerechnet die Bahn?
[  36.22 -   38.44] Das goldene Zeitalter.
[  38.96 -   44.82] Um zu verstehen, wie tief Amerika gefallen ist, muss man erst sehen, wo Amerika zu Beginn des Eisenbahnzeitalters stand.
[  45.50 -   49.47] Im 19. Jahrhundert war die Eisenbahn in den USA nicht irgendein Verkehrsmittel.
[  49.73 -   51.06] Sie war das Verkehrsmittel.
[  52.46 -   55.96] 1869 wird die erste transkontinentale Eisenbahn fertiggestellt.
[  56.58 -   62.50] Plötzlich konnte man in wenigen Tagen ein Land durchqueren, für das Siedler vorher Monate in Planwagen gebraucht hatten.
[  63.08 -   66.32] Die Eisenbahn hat den amerikanischen Westen im Grunde erst erschlossen.
[  66.88 -   68.25] Und es geht nicht nur um Reisen.
[  68.35 -   70.94] Ganze Städte entstehen, weil dort eine Bahnlinie verläuft.
[  71.34 -   73.94] Wer keinen Bahnanschluss bekam, verschwand von der Landkarte.
[  74.48 -   77.82] Die Eisenbahngesellschaften waren die mächtigsten Konzerne ihrer Zeit.
[  78.32 -   80.68] Die Tech-Giganten des 19. Jahrhunderts, wenn man so will.
[  81.26 -   85.68] Auf dem Höhepunkt rund um den Ersten Weltkrieg hatten die USA ein Schienennetz von etwa 200 Schienen.
[  86.02 -   86.53] 54.000 Meilen.
[  87.88 -   91.94] Zur Einordnung, das ist mehr als das gesamte Schienennetz von ganz Europa damals.
[  92.52 -   94.68] Praktisch jede Kleinstadt hatte einen Bahnhof.
[  95.28 -   96.70] Und das Reisen war komfortabel.
[  97.24 -   98.44] Pullman-Schlafwagen.
[  98.94 -  100.26] Speisewagen mit Kellnern.
[ 100.62 -  101.22] Aussichtswagen.
[ 101.72 -  103.32] Mit der Bahn fahren war normal.
[ 103.90 -  108.70] Die Eisenbahn war so dominant, dass sich niemand vorstellen konnte, dass sich das jemals ändern würde.
[ 109.24 -  113.62] Aber genau in diesem Moment, auf dem absoluten Höhepunkt, tauchte ein Konkurrent auf.
[ 114.02 -  114.92] Das Auto.
[ 115.96 -  118.96] Im Jahr 1908 bringt Henry Ford die Model T auf den Markt.
[ 118.96 -  120.96] Am Anfang ist das Auto ein Spielzeug.
[ 121.00 -  125.96] Teuer, unzuverlässig und es gibt fast keine asphaltierten Straßen, auf denen man fahren könnte.
[ 126.34 -  129.24] Zunächst also kein ernstzunehmender Konkurrent für die Eisenbahn.
[ 129.96 -  131.96] Doch Ford macht etwas Revolutionäres.
[ 132.08 -  133.96] Die Fließbandfertigung.
[ 133.96 -  135.96] Die Massenproduktion drückt den Preis radikal.
[ 136.54 -  140.96] Auf einmal kann sich nicht nur die Oberschicht ein Auto leisten, sondern die breite Mittelschicht.
[ 141.22 -  143.96] Und das Auto bietet etwas, das die Eisenbahn niemals konnte.
[ 144.67 -  145.96] Totale Freiheit.
[ 145.98 -  146.76] Kein Fahrplan.
[ 147.14 -  147.96] Keine feste Strecke.
[ 148.43 -  149.96] Du fährst wann du willst, wohin du willst.
[ 150.67 -  151.96] Von deiner Haustür bis zum Ziel.
[ 152.70 -  156.96] Dieses Gefühl, diese Freiheit wird zum Kern der amerikanischen Identität.
[ 157.28 -  158.96] Das Auto ist nicht nur Transport.
[ 159.24 -  160.96] Es ist ein Versprechen.
[ 160.96 -  163.96] Außerdem hatte das Auto einen entscheidenden Vorteil.
[ 164.24 -  165.96] Eisenbahnen waren private Unternehmen.
[ 166.74 -  170.94] Sie mussten ihre Gleise selbst bauen, selbst warten und selbst bezahlen.
[ 171.69 -  173.96] Die Straßen dagegen baute der Staat.
[ 174.08 -  174.96] Mit Steuergeld.
[ 175.28 -  176.96] Kostenlos für jeden, der ein Auto hatte.
[ 177.87 -  179.96] Das ist ein brutal ungleicher Wettkampf.
[ 180.04 -  183.96] Die Bahn muss ihre komplette Infrastruktur selbst stemmen und Gewinn machen.
[ 184.24 -  186.96] Und das Auto kommt seiner Infrastruktur geschenkt.
[ 187.50 -  189.96] Ein Wettkampf, den die Bahn fast nur verlieren konnte.
[ 190.60 -  192.96] Die größte Subvention der Geschichte.
[ 194.18 -  196.51] 1956 unterschreibt Präsident Y.D.
[ 196.63 -  198.96] Eisenhower den Federal Aid Highway Act.
[ 199.40 -  203.96] Eisenhower war im zweiten Weltkrieg beeindruckt von den deutschen Autobahnen und wollte etwas ähnliches.
[ 204.74 -  208.96] Auch aus militärischen Gründen, um im Ernstfall schnell Truppen verlegen zu können.
[ 209.16 -  211.96] Das Ergebnis ist das Interstate Highway System.
[ 212.44 -  215.70] Das größte öffentliche Bauprojekt in der Geschichte der USA.
[ 216.34 -  222.96] Zehntausende Kilometer Autobahn, größtenteils vom Staat finanziert, welcher rund 90% der Kosten übernimmt.
[ 222.98 -  224.96] Für die Bahn gab es nichts Vergleichbares.
[ 225.29 -  225.53] Null.
[ 225.96 -  227.96] Und parallel passiert dasselbe in der Luft.
[ 228.34 -  232.96] Der Staat baut Flughäfen, finanziert die Flugsicherung und fördert die junge Luftfahrtindustrie.
[ 234.19 -  237.60] Fürs Reisen über lange Distanzen ist das Flugzeug schneller als jeder Zug.
[ 238.12 -  241.74] Für mittlere und kurze Strecken fährt das Auto auf der Gratis-Autobahn.
[ 242.32 -  244.96] Die Bahn wird von beiden Seiten in die Zange genommen.
[ 245.26 -  247.96] Und das Auto formt jetzt sogar wie Amerika gebaut wird.
[ 248.53 -  249.96] Die Vororte explodieren.
[ 250.26 -  253.96] Riesige Wohnsiedlungen weit verstreuten, nur mit dem Auto erreichbar.
[ 254.06 -  255.96] Supermärkte mit riesigen Parkplätzen.
[ 256.53 -  257.80] Drive-Thru's.
[ 257.96 -  260.96] Diese zersiedelte Bauweise macht Bahnverkehr fast unmöglich.
[ 261.47 -  261.96] Ein Zug braucht Dichte.
[ 262.79 -  264.96] Viele Menschen auf engem Raum, die zum selben Ziel wollen.
[ 265.74 -  268.96] Aber die amerikanische Vorstadt ist das genaue Gegenteil von Dichte.
[ 269.83 -  271.96] Damit ist die Bahn nicht nur finanziell abgehängt.
[ 272.36 -  274.96] Sie passt schlicht nicht mehr zu der Art, wie Amerikaner leben.
[ 275.52 -  278.96] Die Geschichte des Hochgeschwindigkeitszugs.
[ 279.08 -  284.96] Anfang der 1960er Jahre ist der Personenverkehr für Amerikas Bahnunternehmen kaum mehr als ein Verlustgeschäft.
[ 285.54 -  287.96] Ihr Geld verdienen sie längst mit Güterverkehr.
[ 288.08 -  289.96] Und die Fahrgäste empfinden sie nur noch als Last.
[ 290.54 -  296.96] Während die amerikanische Bahn so im eigenen Land langsam stirbt, passiert auf der anderen Seite der Welt das genaue Gegenteil.
[ 297.54 -  300.96] 1964 stellt Japan zu den Olympischen Spielen den Shunkansen vor.
[ 301.54 -  303.96] Den ersten echten Hochgeschwindigkeitszug der Welt.
[ 304.62 -  307.96] Der seine Fahrgäste mit über 200 Kilometern pro Stunde durchs Land trägt.
[ 308.88 -  313.96] Der Bullet Train wird über Nacht zum Weltwunder und feuert den Startschuss für ein globales Wettrennen ab.
[ 314.28 -  315.94] Überall stellt man sich dieselbe Frage.
[ 316.55 -  317.96] Welches Land baut den nächsten Schnellzug?
[ 319.05 -  321.96] In der Pole Position steht ausgerechnet die größte Technologiemacht der Welt.
[ 322.04 -  322.36] Die USA.
[ 324.30 -  328.96] Aber natürlich hatte unsere Technologiemacht Lex begonnen mit Geschwindigkeit zu experimentieren.
[ 329.72 -  335.96] Schon Ende der 1950er wagte die New York Central Railroad in Ohio einen geradezu absurden Versuch.
[ 337.16 -  346.96] Die Ingenieure schraubten zwei echte Flugzeugdüsentriebwerke auf das Dach eines ganz normalen Personenwagons und jagten dieses Gefährt über eine schnurgerade flache Teststrecke.
[ 347.86 -  356.96] Der umgebaute Waggon erreichte dabei über 270 Kilometer pro Stunde und war damit auf dem Papier schneller als alles, was sonst auf amerikanischen Schienen unterwegs war.
[ 357.46 -  359.96] Ein ernsthaftes Transportkonzept war das natürlich nie.
